entity_name,entity_id,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Givens, Mychal",571710,R,75.7,,,60.2,,,33,,
"Teheran, Julio",527054,R,75.1,77.7,,93.9,,55,23.4,,
"Williams, Trevor",592866,R,74.8,77.3,,92.7,,58,45.1,,
"Pressly, Ryan",519151,R,74.7,,,,,75,29.3,,
"Cimber, Adam",643256,R,74.5,77.6,,,,,28.2,,
"Thornton, Trent",663423,R,74.4,,41.2,73.7,,,61.8,,
"Wendelken, J.B.",605525,R,74.3,79.6,,98.8,,93.1,34.3,,
"Fry, Paul",643316,L,73.7,,,,,,55.5,,
"Selman, Sam",572125,L,73.3,,,,,,49,,
"Ryan, Kyle",594986,L,73.1,65.3,42.3,,,59.8,,,
"Fedde, Erick",607200,R,72.8,77.5,45.3,86.5,,62.7,,,
"O'Day, Darren",503285,R,72.7,75.2,,,,,29.8,,
"Maton, Phil",664208,R,72.4,,53.3,,,91.7,,,
"Keuchel, Dallas",572971,L,72.4,75.3,39.1,90.2,,,29.8,,
"Musgrove, Joe",605397,R,71.7,69.1,32.8,76.3,,75.4,57.3,,
"Burnes, Corbin",669203,R,70.7,73.4,48.5,69.1,,63,44.3,,
"Stratton, Chris",608717,R,70.7,,,72.2,,76.2,33.7,,
"Oviedo, Johan",670912,R,70.6,,,94.9,,73.4,46.5,,
"García, Yimi",554340,R,70.5,,,91.2,,51,30.9,,
"Fried, Max",608331,L,70.4,68,,70.9,,92,44,,
"González, Chi Chi",592346,R,69.8,68.3,31.7,77.4,,42.6,27.9,,
"Betances, Dellin",476454,R,69.5,,,,,49.6,,,66.2
"Lockett, Walker",621141,R,69.4,77.5,46.5,92,,61.2,,,
"Scott, Tanner",656945,L,69.1,,,,,,29.4,,
"Cishek, Steve",518553,R,68.1,78.6,,,,,74.7,,
"Hall, Matt",664180,L,66.9,,26.3,,,95,,,
"Rosso, Ramón",665759,R,66.7,,,,,,46.1,,
"Hernández, Darwinzon",650382,L,66.6,,,,,,42.5,,
"Minor, Mike",501985,L,66.6,,,95.8,,72.3,24.9,,
"Valdez, Framber",664285,L,66.5,70.3,,77.1,,76.5,,,
"Suter, Brent",608718,L,66.2,84.3,,97.8,,72.8,,,
"Castano, Daniel",641447,L,65.4,74,,86.8,,,35.8,,
"Keller, Brad",641745,R,65.3,73.3,,77.7,,,45.3,,
"Osich, Josh",592612,L,62.9,66.9,24.2,,,,46.9,,
"Houck, Tanner",656557,R,61.7,68,,,72.3,,60.5,,
"Turnbull, Spencer",605513,R,61,75.4,,92.8,,81.7,35.2,,
"Kickham, Mike",592464,L,59.9,,,,,66.8,28.7,,
"Richards, Garrett",572070,R,58.9,62.9,,,,89.5,28.4,,
"Walden, Marcus",519393,R,56.2,55.3,30.6,,,,37.5,,
"Schreiber, John",670167,R,50.9,,,70.4,,,,71.4,
