pitcher,name,ht_in
700363,AJ Smith-Shawver,75
808967,Yoshinobu Yamamoto,70
691951,Sam Aldegheri,73
663941,Tristan Beck,76
687377,Orlando Ribalta,79
664299,Cristian Javier,73
552640,Andrew Kittredge,73
680744,Ty Madden,75
682052,Jacob Lopez,76
696270,Ryan Johnson,78
640451,Hunter Harvey,75
701656,Logan Henderson,72
701552,Andre Granillo,76
458681,Lance Lynn,77
687424,Anthony Maldonado,76
471911,Carlos Carrasco,76
593423,Frankie Montas,74
678024,Mike Vasil,77
663485,Cole Sands,75
605400,Aaron Nola,74
671212,Joe Boyle,80
641793,Zack Littell,76
676961,Caleb Boushley,75
656848,Michael Petersen,79
694813,Gavin Stone,73
669084,DL Hall,73
543339,Daniel Hudson,75
671106,Logan Allen,72
640448,Kyle Finnegan,74
656240,Scott Blewett,78
669711,Greg Weissert,74
643511,Tyler Rogers,75
621111,Walker Buehler,74
543056,Danny Coulombe,70
680570,Grayson Rodriguez,77
622786,Jesus Tinoco,76
680755,Braydon Fisher,76
657514,Brennan Bernardino,76
695445,Chase Lee,72
656288,Griffin Canning,74
621074,Michael Rucker,73
676702,Hunter Stratton,76
660761,José Suarez,70
607644,John Means,76
670970,Adrian Morejon,71
621114,Ryan Burr,76
664747,Alexis Díaz,74
669387,Carmen Mlodzinski,74
702352,Spencer Bivens,76
681892,Kody Funderburk,76
687562,Jake Bennett,78
622663,Luis Severino,74
641540,Dane Dunning,76
701487,Pierson Ohl,73
676272,Bobby Miller,77
676440,Tanner Bibee,74
693855,Ian Seymour,72
656457,Tyler Gilbert,75
596295,Austin Gomber,77
641712,Dakota Hudson,77
681869,Shawn Dubin,72
621381,Matt Strahm,74
672335,Cionel Pérez,72
605463,Tayler Scott,75
682227,Brandon Williamson,78
690986,Kyle Harrison,74
689672,Drew Thorpe,76
670046,Kenny Rosenberg,73
663704,James McArthur,79
669459,Kyle Nelson,73
642528,Jonathan Loáisiga,71
596001,Jakob Junis,75
661309,Adrián Martinez,74
682847,Luis Ortiz,74
669438,Mason Englert,76
669358,Shane Baz,75
571670,Dylan Floro,74
676684,Will Vest,72
663773,Bryan Hoeing,78
669947,Jesse Scholtens,76
605498,Andrew Suárez,72
690928,Hunter Dobbins,74
694738,Landen Roupp,74
686751,Seth Johnson,73
680732,Sean Burke,78
680767,Victor Vodnik,72
641672,Thomas Hatch,73
623167,Chris Flexen,75
686799,Jack Kochanowicz,79
592791,Jameson Taillon,77
684974,Craig Yoho,74
671345,Jason Foley,76
675512,Troy Melton,76
837227,Tatsuya Imai,71
683003,Jared Jones,72
656222,Jalen Beeks,71
669721,Davis Daniel,73
621363,Colin Poche,75
606303,Joel Payamps,75
641329,Bryan Baker,78
663321,Nick Hernandez,73
675921,Spencer Howard,75
657006,Justin Steele,74
670245,Ryan Watson,77
661403,Emmanuel Clase,74
543037,Gerrit Cole,76
694363,Jared Shuster,75
676534,Calvin Faucher,73
620454,José Castillo,78
701581,David Festa,78
640470,Adbert Alzolay,73
663687,Hogan Harris,75
687570,Connor Prielipp,74
693821,Bryce Elder,74
641871,Keynan Middleton,75
663559,Bailey Falter,76
663795,Justin Hagenman,75
622098,Drew Smith,74
700241,Michael McGreevy,76
696149,Bubba Chandler,75
678394,Brayan Bello,73
676974,Max Meyer,72
692285,Luis Guerrero,72
677161,Zack Kelly,75
642121,Cole Sulser,72
804636,Jonah Tong,73
642520,Gerson Garabito,72
605156,Aaron Brooks,76
674285,Eduardo Salazar,74
679883,Luinder Avila,75
592454,Tommy Kahnle,73
699134,Bradgley Rodriguez,73
701519,Travis Adams,73
687911,Bryan King,73
800048,Parker Messick,72
680739,Josh Winder,77
605288,Adrian Houser,76
600986,Thyago Vieira,75
681035,Christian Scott,76
607625,Seth Lugo,76
608638,JT Chargois,75
663460,Kris Bubic,75
641771,Chad Kuhl,75
571760,Andrew Heaney,74
664199,Taylor Clarke,75
702474,Mike Paredes,71
686752,Ryan Pepiot,75
669194,Ryne Nelson,75
622251,Josh Staumont,75
614179,José Ruiz,73
689225,Beau Brieske,75
681517,Kyle Leahy,77
623454,Drew Anderson,75
700669,Gordon Graceffo,76
642152,Lou Trivino III,77
543475,Jordan Lyles,77
695076,Rhett Lowder,73
689147,Orion Kerkering,74
669724,Brenan Hanifee,77
570632,José Ureña,74
543351,Jay Jackson,73
623437,Justin Topa,76
696136,Jordan Wicks,75
686930,Mason Barnett,72
663567,Peter Lambert,74
686563,Jonathan Cannon,78
669211,Keegan Akin,72
670174,Josh Winckowski,76
