pitcher,player_name,pitch_type,grp,n,act_miss,pred_miss,grade,g2080
573204,"Thielbar, Caleb",CU,breaking,66,1.68,0.99,103.1,42
624133,"Suarez, Ranger",SL,breaking,25,2.35,0.98,103.1,42
669711,"Weissert, Greg",CH,offspeed,41,1.02,0.98,103.1,47
674370,"Bido, Osvaldo",SL,breaking,31,1.16,0.98,103.1,42
680755,"Fisher, Braydon",SL,breaking,200,1.18,0.98,103.1,42
696147,"Bachman, Sam",CH,offspeed,45,0.75,0.98,103.1,47
800048,"Messick, Parker",CU,breaking,57,0.51,0.98,103.1,42
500779,"Quintana, Jose",SV,breaking,45,1.39,0.97,103,44
665871,"Assad, Javier",CH,offspeed,38,0.76,0.97,103,47
669461,"Liberatore, Matthew",CH,offspeed,123,0.5,0.97,103,47
700241,"McGreevy, Michael",CU,breaking,77,0.38,0.97,103,42
700669,"Graceffo, Gordon",CH,offspeed,37,0.68,0.98,103,47
554430,"Wheeler, Zack",FS,offspeed,142,2.04,0.96,102.9,45
593958,"Rodriguez, Eduardo",CH,offspeed,259,0.52,0.97,102.9,46
663947,"Holton, Tyler",CH,offspeed,64,1.06,0.97,102.9,46
669211,"Akin, Keegan",SL,breaking,58,0.69,0.96,102.9,42
669438,"Englert, Mason",CH,offspeed,89,0.98,0.96,102.9,46
686610,"Waldichuk, Ken",CU,breaking,27,2.72,0.96,102.9,42
543243,"Gray, Sonny",CU,breaking,100,1.57,0.96,102.8,42
623454,"Anderson, Drew",CH,offspeed,168,0.99,0.95,102.8,46
642528,"Loáisiga, Jonathan",CH,offspeed,102,1.03,0.95,102.8,46
657424,"Gage, Matt",CH,offspeed,29,0.76,0.96,102.8,46
663567,"Lambert, Peter",ST,breaking,58,1.09,0.96,102.8,40
669711,"Weissert, Greg",ST,breaking,44,1.33,0.96,102.8,40
676917,"Cavalli, Cade",ST,breaking,94,1.42,0.96,102.8,40
687075,"Sproat, Brandon",CU,breaking,72,1.33,0.95,102.8,42
696070,"Rojas, Kendry",CH,offspeed,35,0.68,0.96,102.8,46
663372,"Feltner, Ryan",SL,breaking,132,0.66,0.95,102.7,41
664299,"Javier, Cristian",CH,offspeed,40,0.89,0.95,102.7,46
676083,"Junk, Janson",SL,breaking,122,0.21,0.95,102.7,41
683352,"Bratt, Mitch",SV,breaking,33,0.64,0.95,102.7,43
702275,"Ritchie, JR",CH,offspeed,83,0.58,0.95,102.7,46
453286,"Scherzer, Max",CH,offspeed,45,0.46,0.94,102.6,46
607067,"Rea, Colin",SL,breaking,106,1.09,0.94,102.6,41
621111,"Buehler, Walker",SL,breaking,94,0.52,0.94,102.6,41
622491,"Castillo, Luis",CH,offspeed,116,0.5,0.94,102.6,46
641312,"Anderson, Shaun",CH,offspeed,37,0.54,0.94,102.6,46
670245,"Watson, Ryan",ST,breaking,89,1.46,0.95,102.6,40
672456,"Montero, Keider",CH,offspeed,106,0.97,0.94,102.6,46
573204,"Thielbar, Caleb",SL,breaking,63,1.26,0.93,102.5,41
592155,"Booser, Cam",FC,fastball,79,0.55,0.93,102.5,76
621121,"McCullers Jr., Lance",ST,breaking,50,0.72,0.93,102.5,40
650644,"Civale, Aaron",FS,offspeed,30,0.27,0.93,102.5,45
663558,"Morán, Jovani",FC,fastball,44,1.46,0.93,102.5,76
666277,"Soriano, George",CH,offspeed,114,1.13,0.93,102.5,46
