Feature,Gain,Cover,Frequency,stand,spec
arm_angle,0.0261752513226332,0.0129795543604476,0.0488322717622081,R,B1
pfx_x_diff,0.0255631471806704,0.0737186458452716,0.0383789184463594,R,B1
ax_diff,0.0219332239388937,0.062173733080454,0.0381541151492444,R,B1
release_extension,0.0180636963620711,0.00788470074900028,0.0284875733732984,R,B1
sax,0.0162609494443425,0.0171307339005912,0.0288622455351567,R,B1
haa,0.142333861687598,0.0950443952383279,0.085431352802954,R,B2h
speed_diff,0.120140675335919,0.0661989756387057,0.0600872776099362,R,B2h
pfx_z,0.102703058254899,0.158352264068495,0.0812856663309836,R,B2h
az,0.101769724731567,0.138601117007031,0.0904665995300436,R,B2h
release_pos_x,0.0857278742563878,0.0250765474625361,0.0574018126888218,R,B2h
release_speed,0.0675729839722119,0.0486809925071726,0.0667170191339376,R,B2h
ax,0.0586292402668858,0.0106241158676417,0.0425478348439074,R,B2h
pitcher_q,0.048850951929731,0.0285005231965375,0.0523497818059752,R,B2h
pfx_x,0.0444315284723654,0.0156954732586359,0.0370762000671366,R,B2h
pfx_z_diff,0.0320873823122137,0.0978974640520086,0.049530043638805,R,B2h
axis_diff,0.029381267230833,0.0255853519215747,0.0370594159113797,R,B2h
cax,0.0279505719193945,0.0426176289435793,0.0399462907015777,R,B2h
release_pos_z,0.0245354419999633,0.0372561508286435,0.0507217186975495,R,B2h
az_diff,0.0227674052147486,0.081786650271037,0.048539778449144,R,B2h
release_spin_rate,0.0208383472544619,0.0422694169342545,0.047583081570997,R,B2h
arm_angle,0.0187558057052664,0.0134960552445311,0.0455857670359181,R,B2h
sax,0.013877806183214,0.0157851603211301,0.0276267203759651,R,B2h
ax_diff,0.0130236196467593,0.0255012587579998,0.0282141658274589,R,B2h
release_extension,0.0126278260329976,0.00708429412883795,0.0267539442766029,R,B2h
pfx_x_diff,0.0119946275925827,0.0239461643513202,0.0250755287009063,R,B2h
vaa,0.316565788216749,0.169851691517301,0.126071526071526,R,B2
haa,0.120946803646314,0.151912313098461,0.0915915915915916,R,B2
az,0.0924761566332851,0.0374145540513949,0.0558558558558559,R,B2
release_speed,0.0749029023247705,0.0769547759849311,0.0641004641004641,R,B2
release_pos_z,0.06678578839923,0.0419354212221154,0.0637728637728638,R,B2
release_pos_x,0.0521751933354152,0.049004994898434,0.0634179634179634,R,B2
speed_diff,0.0461982416470105,0.0655335114380564,0.0497952497952498,R,B2
pfx_z,0.0349291025253334,0.0190159169352807,0.0313950313950314,R,B2
ax,0.0341075902938236,0.0124989556163025,0.0448812448812449,R,B2
pitcher_q,0.0324398086770437,0.0431185387875594,0.0485667485667486,R,B2
pfx_x,0.0290788810095576,0.0231750296689219,0.0402402402402402,R,B2
axis_diff,0.0154903476725993,0.0303080454365327,0.0356811356811357,R,B2
arm_angle,0.0117626999528603,0.0196206846642681,0.0407862407862408,R,B2
release_extension,0.0112649291352313,0.0110180941517216,0.0274638274638275,R,B2
release_spin_rate,0.0106642373015243,0.0508262846548998,0.0451815451815452,R,B2
cax,0.00990687142195785,0.048202812538099,0.0313677313677314,R,B2
