player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Bazardo, Eduard",SI,fastball,67,0.14,0.18,0.17,-0.009,,3.8,0
"Kolek, Stephen",FF,fastball,30,0.11,0.18,0.18,-0.009,,3.6,0
"Fairbanks, Pete",FF,fastball,51,0.13,0.21,0.2,-0.009,,3.6,0
"Mlodzinski, Carmen",FF,fastball,58,0.17,0.19,0.18,-0.009,,3.3,0
"Rogers, Trevor",FF,fastball,124,0.12,0.21,0.21,-0.009,,3.2,0
"Sears, JP",FF,fastball,35,0.18,0.2,0.19,-0.009,,2.7,0
"Patrick, Chad",SI,fastball,32,0.09,0.2,0.19,-0.009,,5.4,-0.063
"Morris, Andrew",FF,fastball,65,0.16,0.18,0.18,-0.009,,2.5,0
"Yates, Kirby",FF,fastball,52,0.19,0.19,0.18,-0.01,,4.2,0
"Sale, Chris",FF,fastball,121,0.3,0.21,0.2,-0.01,,3.6,0
"Matz, Steven",SI,fastball,46,0.02,0.2,0.19,-0.01,,2.3,0
"Waguespack, Jacob",FF,fastball,29,0.15,0.2,0.19,-0.01,,2.2,0
"Manaea, Sean",FF,fastball,123,0.13,0.21,0.2,-0.01,,3.9,0
"Baker, Bryan",FF,fastball,57,0.16,0.2,0.19,-0.01,,6.9,0
