pitcher,season,pitch_type,arm,relx,relz,ht_in,p_throws,ht_ft,ax
678368,2025,CH,33.2523255813954,-1.64406976744186,5.62593023255814,70,R,5.83333333333333,1.64406976744186
678368,2025,ST,47.4627118644068,-1.12550847457627,6.07584745762712,70,R,5.83333333333333,1.12550847457627
678368,2024,CU,50.1395348837209,-1.01883720930233,6.23953488372093,70,R,5.83333333333333,1.01883720930233
678394,2026,ST,37.092,-1.81933333333333,5.5424,73,R,6.08333333333333,1.81933333333333
678394,2024,ST,29.5145061728395,-1.83734567901235,5.19870370370371,73,R,6.08333333333333,1.83734567901235
678394,2023,ST,33.8753846153846,-1.70830769230769,5.36661538461539,73,R,6.08333333333333,1.70830769230769
678394,2023,CH,26.9753086419753,-1.98907407407407,5.12975308641975,73,R,6.08333333333333,1.98907407407407
678394,2025,ST,32.2035242290749,-1.71991189427313,5.26757709251102,73,R,6.08333333333333,1.71991189427313
678394,2024,CH,26.9286863270777,-1.86249329758713,5.14064343163539,73,R,6.08333333333333,1.86249329758713
678394,2026,CH,36.4059322033899,-1.86389830508474,5.51584745762712,73,R,6.08333333333333,1.86389830508474
678394,2025,CH,30.1081632653061,-1.76295918367347,5.22142857142857,73,R,6.08333333333333,1.76295918367347
678495,2024,SL,36.1198795180723,-1.78807228915663,5.39722891566265,72,R,6,1.78807228915663
678495,2025,SL,39.702,-2.6911,5.5089,72,R,6,2.6911
678606,2025,CH,30.1940298507463,3.0865671641791,5.73925373134329,73,L,6.08333333333333,3.0865671641791
678606,2026,CH,30.2454545454546,3.03290909090909,5.62581818181818,73,L,6.08333333333333,3.03290909090909
678606,2024,CH,32.3913043478261,2.98695652173913,5.8004347826087,73,L,6.08333333333333,2.98695652173913
678606,2023,CH,33.3481481481482,3.08962962962963,5.88722222222222,73,L,6.08333333333333,3.08962962962963
678692,2025,ST,43.4795580110497,-2.41093922651934,5.22922651933702,70,R,5.83333333333333,2.41093922651934
678692,2025,SL,41.463698630137,-2.38835616438356,5.18390410958904,70,R,5.83333333333333,2.38835616438356
678692,2025,CH,34.5902777777778,-2.64527777777778,5.16305555555555,70,R,5.83333333333333,2.64527777777778
678692,2024,SL,43.9829787234043,-2.26744680851064,5.29808510638298,70,R,5.83333333333333,2.26744680851064
678692,2024,CH,36.621568627451,-2.56039215686275,5.24960784313726,70,R,5.83333333333333,2.56039215686275
678906,2025,ST,22.1352941176471,-2.29617647058823,5.36235294117647,76,R,6.33333333333333,2.29617647058823
678906,2026,ST,21.5875,-2.44567708333333,5.46333333333334,76,R,6.33333333333333,2.44567708333333
678906,2026,CH,25.7407407407407,-2.36777777777778,5.5887037037037,76,R,6.33333333333333,2.36777777777778
679156,2024,SL,28.7375,3.26453125,5.7528125,74,L,6.16666666666667,3.26453125
679358,2025,FS,45.5342696629213,-1.51825842696629,5.80516853932584,76,R,6.33333333333333,1.51825842696629
679358,2026,FS,43.1883435582822,-1.68693251533742,5.74288343558282,76,R,6.33333333333333,1.68693251533742
679358,2025,SL,47.0278481012658,-1.58329113924051,5.92696202531646,76,R,6.33333333333333,1.58329113924051
679525,2024,ST,31.75,-1.82517857142857,5.67160714285714,74,R,6.16666666666667,1.82517857142857
679525,2023,ST,36.14,-2.41463157894737,5.66178947368421,74,R,6.16666666666667,2.41463157894737
679525,2024,SL,31.6391534391535,-1.92486772486772,5.61153439153439,74,R,6.16666666666667,1.92486772486772
679525,2023,CU,42.2691176470588,-2.20161764705882,5.85382352941176,74,R,6.16666666666667,2.20161764705882
679525,2023,SL,37.9823529411765,-2.24686274509804,5.69725490196078,74,R,6.16666666666667,2.24686274509804
679525,2024,CU,37.2468965517241,-1.74979310344828,5.82972413793103,74,R,6.16666666666667,1.74979310344828
679525,2023,CH,32.6530864197531,-2.52604938271605,5.5362962962963,74,R,6.16666666666667,2.52604938271605
679525,2024,CH,29.5551401869159,-2.02579439252337,5.55570093457944,74,R,6.16666666666667,2.02579439252337
679775,2026,ST,2.91777777777778,3.21622222222222,4.12822222222222,76,L,6.33333333333333,3.21622222222222
679775,2025,ST,6.26666666666667,3.09122807017544,4.18280701754386,76,L,6.33333333333333,3.09122807017544
679883,2026,SL,48.8686274509804,-1.81382352941176,6.0506862745098,75,R,6.25,1.81382352941176
679883,2026,CH,46.8823529411765,-1.93764705882353,6.03137254901961,75,R,6.25,1.93764705882353
679883,2026,CU,51.5202702702703,-1.77216216216216,6.11837837837838,75,R,6.25,1.77216216216216
679885,2024,SL,43.7666666666667,-2.86768518518519,6.29611111111111,75,R,6.25,2.86768518518519
679885,2024,FS,47.0761538461538,-2.65223076923077,6.37053846153846,75,R,6.25,2.65223076923077
680570,2024,CH,34.8162679425837,-2.46401913875598,5.49019138755981,77,R,6.41666666666667,2.46401913875598
680570,2026,CH,36.4963855421687,-2.50361445783132,5.61469879518072,77,R,6.41666666666667,2.50361445783132
680570,2023,ST,41.2048780487805,-2.59439024390244,5.72670731707317,77,R,6.41666666666667,2.59439024390244
680570,2024,SL,37.5763513513513,-2.45763513513514,5.61472972972973,77,R,6.41666666666667,2.45763513513514
680570,2026,SL,37.0977777777778,-2.64355555555556,5.668,77,R,6.41666666666667,2.64355555555556
680570,2023,CH,38.2564705882353,-2.595,5.6295294117647,77,R,6.41666666666667,2.595
680570,2024,CU,39.4490196078431,-2.38421568627451,5.63509803921569,77,R,6.41666666666667,2.38421568627451
680570,2026,CU,40.5243902439024,-2.51317073170732,5.72512195121951,77,R,6.41666666666667,2.51317073170732
680573,2024,CH,43.9519801980198,-1.2070297029703,6.29628712871287,75,R,6.25,1.2070297029703
680573,2025,SL,42.76875,-1.335125,6.33858333333334,75,R,6.25,1.335125
680573,2024,SL,46.5129213483146,-1.06946629213483,6.45929775280899,75,R,6.25,1.06946629213483
680573,2026,SL,45.1058823529412,-1.29490196078431,6.42264705882353,75,R,6.25,1.29490196078431
680573,2026,FS,45.8509803921569,-1.26882352941177,6.39607843137255,75,R,6.25,1.26882352941177
680573,2025,FS,45.0150537634408,-1.33666666666667,6.30924731182796,75,R,6.25,1.33666666666667
680573,2025,CU,50.6841463414634,-1.11109756097561,6.455,75,R,6.25,1.11109756097561
680573,2024,CU,56.2388235294118,-0.662352941176471,6.55047058823529,75,R,6.25,0.662352941176471
680684,2025,CH,45.5142857142857,-2.47571428571429,6.06053571428571,76,R,6.33333333333333,2.47571428571429
680686,2023,CU,32.6246376811594,-1.85985507246377,5.15521739130435,73,R,6.08333333333333,1.85985507246377
680686,2023,SL,31.319587628866,-1.84134020618557,5.0940206185567,73,R,6.08333333333333,1.84134020618557
680689,2025,CH,28.5880952380952,-1.46523809523809,5.39579365079365,74,R,6.16666666666667,1.46523809523809
680689,2023,CH,27.6708333333333,-2.626875,5.45854166666667,74,R,6.16666666666667,2.626875
680694,2026,CU,56.9502590673575,-1.21756476683938,6.3519689119171,75,R,6.25,1.21756476683938
680694,2026,SL,49.9514285714285,-1.47391836734694,6.16073469387755,75,R,6.25,1.47391836734694
680694,2024,CU,63.0037735849057,-1.00075471698113,6.47735849056604,75,R,6.25,1.00075471698113
680694,2025,SL,52.875,-1.31675,6.3365,75,R,6.25,1.31675
680694,2023,CU,60.0733333333333,-1.15571428571429,6.40028571428571,75,R,6.25,1.15571428571429
680694,2024,SL,55.3204081632653,-1.2415306122449,6.30673469387755,75,R,6.25,1.2415306122449
680694,2023,SL,52.8020618556701,-1.42417525773196,6.21819587628866,75,R,6.25,1.42417525773196
680704,2025,SL,7.73389830508475,-2.63677966101695,4.0728813559322,71,R,5.91666666666667,2.63677966101695
680704,2023,SL,1.88,-3.01989473684211,3.98631578947368,71,R,5.91666666666667,3.01989473684211
680704,2024,SL,7.92535211267605,-3.09098591549296,4.27683098591549,71,R,5.91666666666667,3.09098591549296
680704,2024,FS,12.5416058394161,-2.98131386861314,4.51729927007299,71,R,5.91666666666667,2.98131386861314
680723,2023,ST,34.2316666666667,2.00666666666667,5.57633333333333,73,L,6.08333333333333,2.00666666666667
680730,2026,CU,60.1024390243902,1.45268292682927,6.18731707317073,76,L,6.33333333333333,1.45268292682927
680730,2025,CU,59.3379182156134,1.62156133828996,6.17315985130112,76,L,6.33333333333333,1.62156133828996
680730,2024,SL,44.2184397163121,2.1745390070922,5.81482269503546,76,L,6.33333333333333,2.1745390070922
680730,2024,FS,49.3523206751055,1.99755274261603,5.99067510548523,76,L,6.33333333333333,1.99755274261603
