player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff
"Graceffo, Gordon",FF,fastball,103,0.05,0.17,0.18,0.003,,3.3
"Yesavage, Trey",FF,fastball,209,0.16,0.17,0.17,0.003,,3.2
"Sale, Chris",FF,fastball,237,0.27,0.22,0.22,0.002,,4.1
"Suárez, Albert",FF,fastball,115,0.16,0.18,0.18,0.002,,3.2
"Rodriguez, Eduardo",SI,fastball,60,0.01,0.16,0.17,0.002,,4.9
"Rea, Colin",SI,fastball,51,0.02,0.15,0.15,0.002,,6.5
"Waguespack, Jacob",FF,fastball,44,0.24,0.17,0.17,0.002,,3
"Speier, Gabe",FF,fastball,45,0.58,0.2,0.2,0.002,,3.7
"Loáisiga, Jonathan",SI,fastball,76,0.24,0.2,0.2,0.002,,3.7
"Keller, Mitch",FF,fastball,184,0.15,0.19,0.19,0.002,,2.8
"Ohtani, Shohei",FF,fastball,207,0.31,0.26,0.27,0.002,,3.8
"Javier, Cristian",FF,fastball,68,0.34,0.16,0.16,0.002,,3.5
"Medina, Luis",SI,fastball,75,0.15,0.21,0.21,0.002,,4.5
"Lodolo, Nick",FF,fastball,84,0.12,0.2,0.2,0.002,,3.1
"Lodolo, Nick",SI,fastball,83,0.08,0.2,0.2,0.002,,3.7
"Luzardo, Jesús",FF,fastball,133,0.12,0.21,0.21,0.002,,3
"Bednar, David",FF,fastball,106,0.24,0.21,0.21,0.002,,3.1
"Ramírez, Yohan",SI,fastball,93,0.24,0.2,0.2,0.002,,3.9
"Montero, Keider",FF,fastball,145,0.1,0.16,0.17,0.002,,3.6
"Matsui, Yuki",FF,fastball,75,0.18,0.19,0.2,0.002,,3.4
"Vest, Will",FF,fastball,53,0.11,0.18,0.18,0.002,,3.4
"Brown, Ben",SI,fastball,77,0.1,0.17,0.17,0.002,,3.7
"Aleman, Franco",FF,fastball,43,0.32,0.26,0.26,0.002,,2.3
"Burrows, Mike",SI,fastball,104,0.13,0.14,0.15,0.002,,3.1
"Vesia, Alex",FF,fastball,88,0.32,0.22,0.22,0.002,,2.6
"Leiter, Jack",SI,fastball,42,0.05,0.2,0.21,0.002,,2.9
"Sterner, Justin",FF,fastball,85,0.19,0.17,0.18,0.002,,2.7
"Kerkering, Orion",SI,fastball,42,0.19,0.18,0.19,0.002,,2.8
"Painter, Andrew",FF,fastball,119,0.08,0.18,0.18,0.002,,3.6
"Painter, Andrew",SI,fastball,55,0.03,0.16,0.16,0.002,,3.4
"Chandler, Bubba",SI,fastball,48,0.21,0.22,0.23,0.002,,6.2
"Chandler, Bubba",SL,breaking,113,0.88,2.04,2.04,0.002,0.3,68.2
"Dollander, Chase",SI,fastball,64,0.17,0.25,0.25,0.002,,3
"Yamamoto, Yoshinobu",SI,fastball,73,0.06,0.16,0.17,0.002,,4.4
"Weaver, Luke",FF,fastball,93,0.18,0.2,0.2,0.001,,3.1
"Houser, Adrian",FF,fastball,55,0.12,0.19,0.19,0.001,,3.2
"Martinez, Nick",SI,fastball,160,0.05,0.15,0.15,0.001,,2.6
"Hader, Josh",SI,fastball,66,0.19,0.19,0.19,0.001,,2.8
"Peralta, Freddy",FF,fastball,319,0.23,0.21,0.21,0.001,,4.3
"Beeks, Jalen",FF,fastball,65,0.08,0.17,0.18,0.001,,3.5
"Hoffman, Jeff",FF,fastball,65,0.22,0.25,0.25,0.001,,3.5
"Holmes, Grant",FC,fastball,63,0.2,0.22,0.22,0.001,,5.2
"Webb, Jacob",FF,fastball,98,0.23,0.21,0.21,0.001,,2.7
"Mize, Casey",SI,fastball,59,0.09,0.16,0.16,0.001,,4.4
"Morán, Jovani",FF,fastball,65,0.18,0.19,0.2,0.001,,3.9
"Lambert, Peter",SI,fastball,72,0.05,0.14,0.14,0.001,,6.3
"Akin, Keegan",FF,fastball,61,0.2,0.18,0.18,0.001,,2.7
"Ginn, J.T.",FF,fastball,52,0.15,0.18,0.19,0.001,,3.7
"Mlodzinski, Carmen",FF,fastball,116,0.17,0.18,0.18,0.001,,3
"Gómez, Yoendrys",FF,fastball,93,0.38,0.23,0.23,0.001,,3.1
"Cecconi, Slade",FF,fastball,124,0.14,0.18,0.18,0.001,,2.5
"Cecconi, Slade",SI,fastball,143,0.17,0.15,0.16,0.001,,6.8
"Rocker, Kumar",SI,fastball,185,0.09,0.15,0.15,0.001,,4.5
"Arrighetti, Spencer",SI,fastball,53,0.07,0.16,0.16,0.001,,3.8
"Varland, Gus",FF,fastball,95,0.16,0.2,0.2,0.001,,4
"Bidois, Brandan",FF,fastball,59,0.46,0.22,0.22,0.001,,3
"Kochanowicz, Jack",FF,fastball,61,0.19,0.19,0.19,0.001,,5.3
"Aldegheri, Sam",FF,fastball,88,0.11,0.17,0.17,0.001,,2.5
"Seymour, Ian",FF,fastball,90,0.24,0.17,0.17,0.001,,4.8
"Hoppe, Alex",FF,fastball,47,0.12,0.23,0.24,0.001,,3.8
"Rodriguez, Bradgley",FF,fastball,44,0.12,0.26,0.27,0.001,,5.3
"McGreevy, Michael",FF,fastball,126,0.09,0.16,0.16,0.001,,3.3
"Povich, Cade",FF,fastball,46,0.21,0.21,0.21,0.001,,3.8
"Henderson, Logan",FF,fastball,76,0.17,0.17,0.18,0.001,,4.1
"Messick, Parker",FF,fastball,199,0.22,0.18,0.18,0.001,,2.8
"Ray, Robbie",SI,fastball,88,0.09,0.18,0.18,0,,5.2
"Márquez, Germán",FF,fastball,81,0.12,0.15,0.15,0,,7.8
"Quantrill, Cal",SI,fastball,88,0.1,0.15,0.15,0,,7.3
"Buehler, Walker",FF,fastball,80,0.08,0.18,0.18,0,,3.8
"Buehler, Walker",SI,fastball,62,0.09,0.16,0.16,0,,5
"Anderson, Drew",FF,fastball,144,0.23,0.2,0.2,0,,4.1
"López, Reynaldo",FF,fastball,214,0.15,0.17,0.17,0,,2.7
"Finnegan, Kyle",FF,fastball,122,0.24,0.19,0.19,0,,2.8
"Baker, Bryan",FF,fastball,108,0.24,0.22,0.22,0,,2.6
"Mahle, Tyler",FF,fastball,172,0.2,0.18,0.18,0,,3.3
"Abreu, Bryan",FF,fastball,71,0.13,0.18,0.19,0,,3.3
"Holmes, Grant",FF,fastball,153,0.11,0.17,0.17,0,,3.5
"Megill, Trevor",FF,fastball,120,0.25,0.25,0.25,0,,3.4
"Petersen, Michael",FF,fastball,133,0.19,0.23,0.23,0,,2.8
"Bernardino, Brennan",SI,fastball,100,0.16,0.17,0.17,0,,5.2
"Suarez, Robert",FF,fastball,65,0.11,0.25,0.25,0,,3
"Hudson, Bryan",FF,fastball,140,0.21,0.2,0.2,0,,5.6
"Zeferjahn, Ryan",FF,fastball,50,0.48,0.22,0.22,0,,4.2
"Rolison, Ryan",FF,fastball,75,0.06,0.19,0.19,0,,4.4
"Baz, Shane",FF,fastball,187,0.16,0.22,0.22,0,,3.1
"Kirby, George",FF,fastball,198,0.25,0.2,0.2,0,,2.6
"Bradley, Taj",FF,fastball,290,0.09,0.21,0.21,0,,2.8
"Senga, Kodai",FF,fastball,90,0.13,0.2,0.2,0,,3.2
"Melton, Troy",FF,fastball,105,0.22,0.2,0.2,0,,3.3
"Junk, Janson",FF,fastball,111,0.09,0.19,0.19,0,,4.9
"Hill, Jaden",FF,fastball,42,0.3,0.23,0.23,0,,2.9
"Hill, Jaden",SI,fastball,41,0.06,0.2,0.2,0,,2.4
"Teng, Kai-Wei",SI,fastball,64,0.22,0.18,0.18,0,,3.3
"Murray, Jayden",FF,fastball,54,0.48,0.21,0.21,0,,2.9
"Sproat, Brandon",CH,offspeed,43,0.94,0.74,0.74,0,0.18,23.9
"Schultz, Paxton",FF,fastball,45,0.1,0.16,0.16,0,,2.7
"Svanson, Matt",SI,fastball,124,0.12,0.19,0.19,0,,2.7
"Davis, Tyler",FF,fastball,78,0.24,0.23,0.23,0,,2.9
"Yates, Kirby",FF,fastball,86,0.3,0.17,0.17,-0.001,,7.1
"Eovaldi, Nathan",SI,fastball,68,0.02,0.15,0.15,-0.001,,4.3
"Lorenzen, Michael",FF,fastball,89,0.05,0.19,0.19,-0.001,,4.7
"Kittredge, Andrew",SI,fastball,81,0.09,0.18,0.18,-0.001,,3.6
"Rodriguez, Eduardo",FF,fastball,213,0.18,0.18,0.18,-0.001,,3.5
"Rodón, Carlos",FF,fastball,116,0.28,0.19,0.19,-0.001,,2.8
"Fedde, Erick",CH,offspeed,40,0.34,0.6,0.6,-0.001,0.16,22.1
"Enns, Dietrich",FF,fastball,50,0.23,0.17,0.17,-0.001,,3
"Quantrill, Cal",FF,fastball,41,0.17,0.16,0.16,-0.001,,3.3
"Domínguez, Seranthony",FF,fastball,75,0.26,0.22,0.22,-0.001,,4.5
"Severino, Luis",FF,fastball,50,0.17,0.21,0.2,-0.001,,3.7
"Brazobán, Huascar",SI,fastball,146,0.34,0.19,0.19,-0.001,,3.6
"Iglesias, Raisel",FF,fastball,68,0.26,0.18,0.18,-0.001,,7.2
"Kay, Anthony",FF,fastball,104,0.19,0.2,0.2,-0.001,,4.2
"Littell, Zack",FF,fastball,128,0.07,0.16,0.16,-0.001,,3.8
"Lange, Alex",SI,fastball,59,0.2,0.16,0.16,-0.001,,3.3
"Webb, Logan",SI,fastball,185,0.08,0.21,0.21,-0.001,,6
"Gage, Matt",FF,fastball,51,0.17,0.17,0.17,-0.001,,3.3
"Seabold, Connor",FF,fastball,63,0.21,0.16,0.16,-0.001,,2.3
"Kolek, Stephen",FF,fastball,75,0.19,0.17,0.17,-0.001,,3.7
"Assad, Javier",SI,fastball,140,0.06,0.15,0.14,-0.001,,4.5
"Hurt, Kyle",FF,fastball,87,0.27,0.19,0.19,-0.001,,2.7
"Baz, Shane",SI,fastball,63,0.07,0.17,0.17,-0.001,,3.5
"Skubal, Tarik",SI,fastball,76,0.22,0.2,0.2,-0.001,,5.4
"Murphy, Chris",FF,fastball,59,0.24,0.22,0.22,-0.001,,4.1
"Macko, Adam",FF,fastball,44,0.36,0.18,0.18,-0.001,,2.6
"Leasure, Jordan",FF,fastball,49,0.09,0.2,0.2,-0.001,,3.8
"Dreyer, Jack",FF,fastball,90,0.29,0.22,0.22,-0.001,,2.5
"Cavalli, Cade",FF,fastball,189,0.15,0.2,0.2,-0.001,,5
"Vodnik, Victor",FF,fastball,102,0.13,0.24,0.24,-0.001,,4.7
"Silseth, Chase",SI,fastball,46,0.2,0.17,0.17,-0.001,,8.5
"Leahy, Kyle",FF,fastball,135,0.16,0.18,0.18,-0.001,,3.4
