pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,arm_gap,slot,fb_slot
678606,offspeed,CH,"Ferrer, José A.",289,-2.5660321894829,40.484429065744,3.05741356442569,31.1429065743945,33.9800890053004,-0.036,100,3.05741356442569,TRUE,0.508021390374332,0.0519278369746605,FALSE,,51,3.1,31,34
623211,offspeed,CH,"Brazobán, Huascar",542,4.34874966832741,33.5793357933579,3.06019621099725,37.8543967137784,37.042153503584,-0.0945830258302583,100,3.06019621099725,TRUE,0.502673796791444,0.0427805860259707,TRUE,0.00983744507934039,50,3.1,38,37
608372,offspeed,FS,"Sugano, Tomoyuki",433,0.891787902835005,27.2517321016166,2.78317660900258,42.2411085450347,39.6537689025864,-0.0792101616628176,100,2.78317660900258,TRUE,0.5,0.0382069605516258,TRUE,0.0428431025249001,50,2.8,42,40
605488,offspeed,CH,"Springs, Jeffrey",732,-0.522990839495837,39.344262295082,3.06835182008202,45.8730983606557,43.7552197242526,-0.0399822404371585,100,3.06835182008202,TRUE,0.497326203208556,0.0336333350772809,FALSE,,50,3.1,46,44
676106,offspeed,CH,"Hancock, Emerson",291,-6.13238024325443,23.7113402061856,3.07742574714235,21.1676113360324,22.3011379401825,0.0627353951890034,100,3.07742574714235,TRUE,0.491978609625669,0.024486084128591,FALSE,,49,3.1,21,22
694973,offspeed,CH,"Skenes, Paul",379,-1.62784451420647,41.688654353562,3.07775533092532,22.0490765171504,24.8862332007989,-0.00219525065963053,100,3.07775533092532,TRUE,0.486631016042781,0.0153388331799012,FALSE,,49,3.1,22,25
808963,offspeed,FS,"Sasaki, Roki",238,-5.31212427890413,33.1932773109244,2.78973121368833,50.5405286343612,47.8368115942029,-0.132,100,2.78973121368833,TRUE,0.482142857142857,0.00766167613367943,FALSE,,48,2.8,51,48
663460,offspeed,CH,"Bubic, Kris",329,2.8460717460058,34.6504559270517,3.10702530766809,36.9279924735852,39.6360738263778,-0.0901003039513677,100,3.10702530766809,TRUE,0.481283422459893,0.00619158223121157,TRUE,0.0021754835379329,48,3.1,37,40
663436,offspeed,CH,"Martin, Davis",517,-4.9868801540436,16.0541586073501,3.14278974038109,35.8233011901905,38.2148048847438,-0.135114119922631,100,3.14278974038109,TRUE,0.475935828877005,-0.00295566871747825,TRUE,0.000592688941016891,48,3.1,36,38
693855,offspeed,CH,"Seymour, Ian",361,3.95514604254054,34.6260387811634,3.15891236611127,44.482271468144,45.268550390029,0.0237894736842105,100,3.15891236611127,TRUE,0.470588235294118,-0.0121029196661681,FALSE,,47,3.2,44,45
681343,offspeed,CH,"Smith, Shane",211,-1.84102653384407,30.3317535545024,3.18718084685396,30.89,33.0972932330827,0.0427393364928909,100,3.18718084685396,TRUE,0.46524064171123,-0.0212501706148579,TRUE,0.0115425661847944,47,3.2,31,33
615698,offspeed,FS,"Quantrill, Cal",787,-1.27786557087363,20.9656925031766,2.81069853275971,44.6912982957992,45.0966009552032,-0.0422465057179162,100,2.81069853275971,TRUE,0.464285714285714,-0.0228836082842667,TRUE,0.0179076804367005,46,2.8,45,45
570632,offspeed,CH,"Ureña, José",319,-2.07619463674409,26.3322884012539,3.19623126888432,32.4761755485893,29.8878509795189,0.00161442006269594,100,3.19623126888432,TRUE,0.459893048128342,-0.0303974215635477,TRUE,0.0146409305879035,46,3.2,32,30
571760,offspeed,CH,"Heaney, Andrew",540,-1.31226283931887,21.1111111111111,3.21910497976764,29.2857407407408,26.5315407199395,-1.66666666666699e-05,100,3.21910497976764,TRUE,0.454545454545455,-0.0395446725122374,TRUE,0.0301347194535837,45,3.2,29,27
669203,offspeed,CH,"Burnes, Corbin",236,5.37447567173812,32.2033898305085,3.22202894597601,39.3976880823251,42.3312695512095,0.0316949152542373,100,3.22202894597601,TRUE,0.449197860962567,-0.0486919234609272,FALSE,,45,3.2,39,42
669387,offspeed,FS,"Mlodzinski, Carmen",331,0.011047071221054,34.7432024169184,2.86762695303566,32.1343599224421,31.728752437641,-0.289051359516616,100,2.86762695303566,TRUE,0.446428571428571,-0.0534288927022131,FALSE,,45,2.9,32,32
686563,offspeed,CH,"Cannon, Jonathan",390,-4.41470607193058,22.8205128205128,3.23793240806085,24.0712820512821,26.832372818596,-0.120282051282051,100,3.23793240806085,TRUE,0.443850267379679,-0.057839174409617,TRUE,0.0131014779845408,44,3.2,24,27
663158,offspeed,CH,"Suarez, Robert",319,-2.89480505730751,35.423197492163,3.26903118167445,42.1667698033538,44.9748333965032,0.00949529780564269,100,3.26903118167445,TRUE,0.438502673796791,-0.0669864253583068,TRUE,0.0231402198186747,44,3.3,42,45
663372,offspeed,CH,"Feltner, Ryan",349,9.36915736987938,40.1146131805158,3.27143065130082,43.9521739130435,40.8486929149971,-0.139389684813754,100,3.27143065130082,TRUE,0.433155080213904,-0.0761336763069967,FALSE,,43,3.3,44,41
687064,offspeed,FS,"Young, Brandon",248,-4.55765166371438,25.4032258064516,2.89012982782698,43.1896290322581,45.645490629393,-0.227947580645161,100,2.89012982782698,TRUE,0.428571428571429,-0.0839741771201592,TRUE,0.0184248782742037,43,2.9,43,46
678394,offspeed,CH,"Bello, Brayan",857,0.761894199162994,31.855309218203,3.27915314525188,28.9700145497501,31.3322021164125,0.142697782963827,100,3.27915314525188,TRUE,0.427807486631016,-0.0852809272556863,FALSE,,43,3.3,29,31
666745,offspeed,CH,"Brito, Jhony",211,5.72921019097776,26.0663507109005,3.29557538507109,53.8777251184834,51.699766735782,0.0477582938388626,100,3.29557538507109,TRUE,0.422459893048128,-0.0944281782043761,FALSE,,42,3.3,54,52
