pitcher,season,n_ch,est_ch,true_ch,n_ff,est_ff,true_ff,player_name,name,pass,truly,nsw,axis_gap,arm,velo_sep,resid,gap_band
641778,2026,220,0.969427620601154,0.953,614,0.911455772898097,0.936,"Lauer, Eric",Eric Lauer,TRUE,TRUE,103,17.5931326700578,33.8038834951456,6.6767132601752,-5.95597904461282,10-20
622491,2023,220,0.953534827997242,0.917,656,0.92928242885132,0.891,"Castillo, Luis",Luis Castillo,TRUE,TRUE,270,17.6067858754247,13.8766666666667,7.92644235785081,3.22140874311339,10-20
689017,2024,167,0.966989554810023,0.983,532,0.95010076621603,0.98,"Knack, Landon",Landon Knack,TRUE,TRUE,70,17.6199062986306,52.6028571428572,9.43770676691729,0.0311273632897491,10-20
547179,2023,236,0.958256566651871,0.985,362,0.938000445495992,0.974,"Lorenzen, Michael",Michael Lorenzen,TRUE,TRUE,280,17.7222805582733,40.7117857142857,9.8229122224165,0.106290390971691,10-20
683155,2024,222,0.974619424556608,0.992,1039,0.912839024715753,0.916,"Estes, Joey",Joey Estes,TRUE,TRUE,101,17.7852445116219,40.3455445544554,7.47309961024976,1.84025845103174,10-20
605288,2024,135,0.956252526452275,0.893,186,0.937068256453868,0.935,"Houser, Adrian",Adrian Houser,TRUE,TRUE,67,17.9183115088987,38.5641791044776,9.52162608012569,1.98315722673269,10-20
605498,2023,95,1.0043582505068,0.988,240,0.918330283732831,0.969,"Suárez, Andrew",Andrew Suárez,TRUE,TRUE,42,17.9451474921186,46.1190476190476,8.79101956135151,1.85063301244814,10-20
829272,2025,150,1.01142303121459,0.96,261,0.900824577787904,0.915,"Ogasawara, Shinnosuke",Shinnosuke Ogasawara,TRUE,TRUE,79,17.9700717063109,46.8860759493671,10.0905378534362,1.7602708767076,10-20
678606,2025,265,0.900725081712317,0.935,106,0.993562009887149,0.993,"Ferrer, José A.",José A. Ferrer,TRUE,TRUE,134,18.2359256395532,30.1940298507463,9.98217403548297,3.48096583745841,10-20
669358,2026,164,0.906843272867919,0.984,678,0.92661344828407,0.963,"Baz, Shane",Shane Baz,TRUE,TRUE,71,18.3705072870378,35.9323943661972,7.86734180896589,-10.7236423232312,10-20
594902,2025,56,1.00148495307104,0.984,238,0.979717827941038,0.977,"Lively, Ben",Ben Lively,TRUE,TRUE,22,18.4959676264402,37.2136363636364,5.22459893048129,-10.9600899425425,10-20
669373,2024,760,0.926996379915452,0.822,931,0.923996893902475,0.952,"Skubal, Tarik",Tarik Skubal,TRUE,FALSE,445,18.5276238361644,46.4191011235955,10.4263446727722,4.4096266033763,10-20
622663,2026,59,0.986195500220371,0.993,230,0.940837245807092,0.928,"Severino, Luis",Luis Severino,TRUE,TRUE,20,18.6095654527411,41.895,10.1782608695652,1.553312107022,10-20
