pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,nz_rate,axis_gap
656234,breaking,CU,"Bird, Jake",219,5.00145969754264,31.9634703196347,8.14056907738006,25.9922680412371,17.8516989638571,0.0912146118721462,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.056062835693806,76,100,0.09
656605,breaking,CU,"Keller, Mitch",224,1.62355178169799,29.4642857142857,7.20218787889075,42.0995145631068,34.9492387111628,0.0751785714285714,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.17270530968792,76,100,0.08
656849,breaking,CU,"Peterson, David",317,-7.86966854602645,29.3375394321767,5.12609061421788,45.3476340694007,40.2497025241748,-0.0440189274447951,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.04
663687,breaking,CU,"Harris, Hogan",287,0.0541898719525435,28.9198606271777,2.66300845786735,55.3104316546763,55.5881206043271,-0.0230069686411149,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,1,76,100,-0.02
663978,breaking,CU,"Paddack, Chris",232,3.93060700343472,17.2413793103448,1.80369786522569,48.525089459987,49.0411739896836,-0.098698275862069,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0713365678653462,76,100,-0.1
664285,breaking,CU,"Valdez, Framber",1130,-2.59724354981796,37.0796460176991,1.81630050644879,43.5107335112864,43.306045206062,0.0195654867256636,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,0.02
668909,breaking,CU,"Williams, Gavin",625,0.124256939299876,30.88,6.39547119131606,39.43664,33.0564856626166,-0.05908,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,1,76,100,-0.06
669203,breaking,CU,"Burnes, Corbin",438,-3.90762294870918,40.4109589041096,5.94778032482652,47.8751141552512,41.9421268874424,0.0162876712328768,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,0.02
669461,breaking,CU,"Liberatore, Matthew",282,3.89607441715412,32.9787234042553,2.81879053333545,50.1449781659388,47.5429511013657,-0.0435567375886524,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0719688546034858,76,100,-0.04
671737,breaking,CU,"Bradley, Taj",273,3.127480043238,31.1355311355311,4.65999077293068,59.1058608058609,54.588304599762,-0.139904761904762,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0896555723381118,76,100,-0.14
672282,breaking,CU,"Detmers, Reid",315,6.97121333415107,25.7142857142857,7.60387310196952,48.4944278606965,40.8941529294894,-0.0918126984126984,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0402219814273796,76,100,-0.09
676282,breaking,CU,"Cantillo, Joey",405,-0.35033694422863,31.8518518518519,3.10046924387326,54.2646913580247,51.840714679291,-0.0366740740740741,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.04
676440,breaking,CU,"Bibee, Tanner",295,-1.92760057981997,23.3898305084746,6.7184128805926,59.0823728813559,53.6546721579418,-0.168830508474576,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.17
677944,breaking,CU,"Cecconi, Slade",298,-0.704666322526163,27.5167785234899,9.80995906017719,47.3257042253521,37.5157451651749,-0.136020134228188,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.14
679525,breaking,CU,"Marsh, Alec",213,1.67118133765706,24.8826291079812,6.31295784095516,38.850234741784,32.546371079427,-0.154816901408451,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.167783116609973,76,100,-0.15
680694,breaking,CU,"Bradish, Kyle",383,-6.63314426407971,37.3368146214099,5.25883451322545,58.7985754985755,53.7023759015908,0.0342193211488251,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,0.03
681293,breaking,CU,"Arrighetti, Spencer",433,-3.45435351336615,37.6443418013857,2.88661725529879,23.6983833718245,21.9026808286448,-0.175889145496536,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.18
681517,breaking,CU,"Leahy, Kyle",241,-2.45362546454285,28.2157676348548,2.75240267861383,47.7646017699115,45.2940148223869,-0.0388091286307054,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.04
687765,breaking,CU,"Spence, Mitch",292,-0.767569289672874,31.8493150684932,7.06997516939442,53.2462571232509,46.1762819538565,0.151859589041096,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,0.15
694297,breaking,CU,"Pfaadt, Brandon",257,-0.35479438266985,28.7937743190662,3.86053592024977,31.9965492021277,28.4908414622962,-0.0186536964980545,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.02
694738,breaking,CU,"Roupp, Landen",693,-0.0872953002691957,32.1789321789322,6.3256832220407,29.0350649350649,22.7176203493879,-0.0555728715728715,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.06
700249,breaking,CU,"Povich, Cade",324,3.99060012824444,25.6172839506173,1.87578594658708,41.889,41.5320868980206,-0.0790771604938272,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.07026412174649,76,100,-0.08
808967,breaking,CU,"Yamamoto, Yoshinobu",439,3.38186721469318,30.2961275626424,8.80667242494133,50.5021375284738,41.6954651035325,0.0246628701594533,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0829115974850493,76,100,0.02
650644,breaking,ST,"Civale, Aaron",207,7.80692847914826,23.6714975845411,3.25864959120366,42.9192118226601,45.3142112125163,-0.291,99.0147783251232,99.0147783251232,TRUE,0.762962962962963,0.280179856707758,TRUE,0.0358886157925102,76,99,-0.29
608331,breaking,ST,"Fried, Max",219,2.55793152097726,31.5068493150685,5.71376391030918,42.4061797752809,48.0327337396245,-0.147630136986301,98.1735159817352,98.1735159817352,TRUE,0.755555555555556,0.271965908006573,TRUE,0.106322591428354,76,98.2,-0.15
647336,breaking,SV,"Soroka, Michael",430,3.07561665447276,34.6511627906977,4.37052002351169,32.5296019900498,28.2882339172064,-0.170251748251748,94.1724941724941,94.1724941724941,FALSE,0.75,0.265805446480685,TRUE,0.0864234644113185,75,94.2,-0.17
548384,breaking,ST,"Raley, Brooks",277,3.02982756450211,23.4657039711191,5.5255287905476,28.682489139081,34.0829847993764,-0.168039711191336,96.028880866426,96.028880866426,TRUE,0.748148148148148,0.263751959305389,TRUE,0.0870518053223702,75,96,-0.17
622663,breaking,ST,"Severino, Luis",609,0.900206136868929,27.5862068965517,5.4215186526592,36.3504934210526,41.6037077679602,-0.299617405582923,95.0738916256158,95.0738916256158,TRUE,0.740740740740741,0.255538010604204,TRUE,0.283866105926593,74,95.1,-0.3
701542,breaking,ST,"Warren, Will",379,-6.17007456853206,28.2321899736148,2.2224188628056,28.067638483965,26.9180421395219,-0.180424802110818,93.4036939313985,93.4036939313985,TRUE,0.733333333333333,0.24732406190302,FALSE,,73,93.4,-0.18
666171,breaking,ST,"Zeferjahn, Ryan",288,4.70494090250192,38.5416666666667,2.40229409611792,35.8844444444445,36.5801234497787,-0.302902777777778,93.0555555555556,93.0555555555556,TRUE,0.725925925925926,0.239110113201836,TRUE,0.0508210662273538,73,93.1,-0.3
607200,breaking,ST,"Fedde, Erick",830,-1.83973017787698,23.1325301204819,6.86714662395901,31.6213253012048,38.4556935908794,-0.288043373493976,90.9638554216867,90.9638554216867,TRUE,0.718518518518519,0.230896164500651,FALSE,,72,91,-0.29
660271,breaking,ST,"Ohtani, Shohei",343,0.472261428160359,37.0262390670554,2.5386066019823,31.7466472303207,33.0903140953553,-0.23230029154519,89.795918367347,89.795918367347,TRUE,0.711111111111111,0.222682215799467,TRUE,0.47152319143848,71,89.8,-0.23
686730,breaking,ST,"Spiers, Carson",207,-1.30769627452691,26.5700483091787,3.5838586749415,27.6987261146497,31.2239316239317,-0.273405797101449,85.5072463768116,85.5072463768116,TRUE,0.703703703703704,0.214468267098283,FALSE,,70,85.5,-0.27
594580,breaking,ST,"Moll, Sam",294,-2.95085876060309,36.3945578231293,4.8643311215932,11.7791383219955,16.4447438226274,-0.218683673469388,79.9319727891157,79.9319727891157,TRUE,0.696296296296296,0.206254318397098,FALSE,,70,79.9,-0.22
