pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,as_gap,exp_whiff
669854,2024,"Blanco, Ronel",291,31.6252708101004,46.385910652921,8.19249328186837,0.0699147378232839,0.590838880343696,608,34.2948717948718,51.3157894736842,85.1972039473684,1484.86677631579,-0.213815789473684,0.968,0.986,Ronel Blanco,-0.018,34.2249570570485
689017,2024,"Knack, Landon",70,17.6199062986306,52.6028571428572,9.43770676691729,0.0311273632897491,0.119190918591705,167,27.1428571428571,41.9161676646707,84.1826347305389,1722.33532934132,-1.09461077844311,0.983,0.98,Landon Knack,0.003,27.1117297795674
623167,2024,"Flexen, Chris",211,23.3178810266286,67.4104265402844,9.95905815960332,-0.0908988538801131,1.27839260701656,440,37.914691943128,47.9545454545455,81.3213636363637,1319.39318181818,-1.56227272727273,0.985,0.917,Chris Flexen,0.068,38.0055907970081
527048,2021,"Pérez, Martín",237,7.50734360616586,47.8704641350211,8.61023688218919,-0.180654569889351,1.95995672878754,446,32.5102880658436,54.4843049327354,84.8040358744395,1697.16629213483,-0.718161434977579,0.994,0.973,Martín Pérez,0.021,32.690942635733
656578,2023,"Jackson, Andre",195,34.3955610904949,51.2507692307692,7.98128320110383,-0.250548249456574,2.72224357132638,320,29.7435897435897,60.9375,86.9484375,1766.45454545455,-1.53125,0.923,0.995,Andre Jackson,-0.072,29.9941379930463
672282,2024,"Detmers, Reid",116,7.65783404908727,45.9068965517241,9.11730407523511,-0.253152934299301,-0.697121640484627,220,31.8965517241379,52.7272727272727,84.6545454545455,1522.30909090909,-1.09727272727273,0.927,0.99,Reid Detmers,-0.063,32.1497046584372
656641,2024,"Latz, Jacob",108,24.9083449191062,48.9648148148148,8.9922056384743,-0.32085620272881,0.589446097464893,185,38.8888888888889,58.3783783783784,85.9335135135135,2024.7027027027,0.697837837837838,0.973,0.96,Jacob Latz,0.013,39.2097450916177
607231,2021,"Gant, John",198,18.9424535785911,48.6383838383839,11.7729855810008,-0.359655151227726,0.839675616044418,444,37.5,45.0450450450451,80.1367117117117,1482.16027088036,-1.35135135135135,0.964,0.968,John Gant,-0.004,37.8596551512277
548389,2022,"Stripling, Ross",352,21.1290976648461,63.0309659090909,9.23150197628459,-0.372586156204907,-0.14324866030613,553,33.9943342776204,63.8336347197107,82.5502712477396,1679.63224637681,0.571609403254973,0.916,0.942,Ross Stripling,-0.026,34.3669204338253
605488,2026,"Springs, Jeffrey",229,20.0167648138502,47.0960698689956,11.8749362824653,-0.48432208173856,-0.0859332151712134,415,38.8646288209607,55.1807228915663,79.5195180722892,1384.76626506024,-1.67614457831325,0.956,0.996,Jeffrey Springs,-0.04,39.3489509026993
694813,2024,"Stone, Gavin",312,25.5191226735701,46.6416666666667,7.50017608065184,-0.668042275242475,2.07171882972088,574,37.1794871794872,54.3554006968641,87.466724738676,1665.06620209059,0.828745644599303,0.985,0.951,Gavin Stone,0.034,37.8475294547297
434671,2022,"Sánchez, Aníbal",182,27.789177221421,47.3532967032967,10.2271403015589,-0.677235056816551,-1.1731448733403,315,26.9230769230769,57.7777777777778,79.8936507936508,1470.47936507937,-0.596825396825396,0.942,0.905,Aníbal Sánchez,0.037,27.6003119798935
605182,2023,"Clevinger, Mike",126,22.3380296184485,47.202380952381,8.34492878722486,-0.76907028290531,0.847499035059232,268,29.3233082706767,49.6268656716418,86.0440298507463,1525.51865671642,1.76567164179104,0.986,0.953,Mike Clevinger,0.033,30.092378553582
674003,2024,"Bradford, Cody",157,25.4976873552884,51.8573248407643,8.92281083320388,-0.818600818929513,-1.18368304439787,321,33.7579617834395,48.9096573208723,80.888785046729,1787.07165109034,1.0202492211838,0.997,0.991,Cody Bradford,0.006,34.576562602369
669194,2023,"Nelson, Ryne",136,39.9413260320434,44.0551470588235,10.9751083169043,-0.826018359266057,-0.405087705618631,313,31.1594202898551,44.0894568690096,83.3354632587859,1713.18849840256,-0.0182108626198083,0.994,0.958,Ryne Nelson,0.036,31.9854386491211
670046,2024,"Rosenberg, Kenny",69,14.4376357025133,45.863768115942,9.11115794143745,-0.885484640068899,-1.85165449433662,132,28.9855072463768,52.2727272727273,81.0954545454545,1640.48484848485,0.459090909090909,0.954,0.988,Kenny Rosenberg,-0.034,29.8709918864457
680739,2023,"Winder, Josh",76,26.2332409286454,45.8039473684211,5.56078563196312,-0.889278719240643,0.713314611750161,139,25,54.6762589928058,89.0230215827338,1305.18705035971,-0.537410071942446,0.937,0.949,Josh Winder,-0.012,25.8892787192406
666120,2021,"Anderson, Ian",332,14.5334170720958,63.1012048192771,6.56762664693863,-0.916816777316015,2.19852311849111,684,34.8773841961853,53.6549707602339,88.0711988304094,1646.19236417034,1.17543859649123,0.986,0.996,Ian Anderson,-0.01,35.7942009735013
608716,2021,"Steckenrider, Drew",77,19.47688256518,51.9116883116883,6.32750392022837,-0.93479544147595,0.331210395807182,159,28.75,50.314465408805,87.6044025157233,1675.51572327044,2.66729559748428,0.979,0.971,Drew Steckenrider,0.008,29.684795441476
608337,2023,"Giolito, Lucas",471,20.7669686892411,50.3458598726115,12.1793997991279,-0.962802149079467,-2.13705866877569,902,35.244161358811,52.2172949002217,80.9272727272727,1546.84666666667,0.0541019955654096,0.98,0.98,Lucas Giolito,0,36.2069635078905
676272,2023,"Miller, Bobby",143,29.2858581998721,45.2573426573427,11.0519813519813,-1.1330925602918,0.183586233919755,314,39.8601398601399,45.5414012738854,88.2006369426752,2289.87261146497,0.526114649681529,0.969,0.994,Bobby Miller,-0.025,40.9932324204317
674003,2023,"Bradford, Cody",116,27.6184983083673,48.926724137931,8.23349405805572,-1.16985598048637,-1.95057687979147,270,33.8983050847458,43.7037037037037,82.1062962962963,1900.9037037037,0.918518518518519,0.992,0.994,Cody Bradford,-0.002,35.0681610652321
434378,2025,"Verlander, Justin",101,21.2287565822883,51.6356435643564,8.96191385636025,-1.19100193698559,-0.800707388676207,222,28.7128712871287,45.4954954954955,84.6788288288288,1728.88738738739,1.05720720720721,0.941,0.965,Justin Verlander,-0.024,29.9038732241143
