PitcherId,season,nsw,axis,velo_sep,rz,rx,w,w_tj,name,slot,eff_ch,n_ch,eff_ff,eff_gap,matched,eff_floor,eff_close,hi_slot,core,corex,bb
701905,2025,43,49.1391957483043,9.12044495881782,5.2505888372093,1.23485279069767,17.154947987628,19.4779245890638,"Shertel, Jayden",24.0308529089085,0.931753478602926,77,0.913012740732064,0.0187407378708616,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
702036,2024,49,36.9998194996999,8.24977157262903,5.47676142857143,2.25669387755102,-1.17355577875776,-2.46987558732965,"Rossi, Tony",18.9936309280702,0.948235665994491,98,0.993918079074238,-0.0456824130797471,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702056,2024,103,46.3746717597455,10.5641899523416,6.98289961165049,1.01789,5.47874729897945,3.40290458040769,"Yesavage, Trey",65.9690578370971,0.871292667233933,215,0.994661897641361,-0.123369230407429,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
702280,2024,61,31.4536201318701,9.53919524228955,5.46329081967213,2.33898639344262,-3.40938483822371,-3.1662015897841,"Smith, Tristan",18.0732658718944,0.994941935110977,128,0.996144705655511,-0.00120277054453466,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702365,2025,63,28.6286200022958,6.53146991054104,5.81570158730159,2.46748476190476,5.25495241863607,5.75793564002205,"Doorn, Carter",24.330650970107,0.943595457682852,130,0.985083372199655,-0.0414879145168031,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702505,2025,58,35.6187519958997,9.3363521556766,5.67445948275862,1.51186931034483,13.9176497325656,11.6648245357072,"Thompson, J.D.",32.8033790527438,0.862333651543647,125,0.985318951945782,-0.122985300402135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
702583,2024,115,21.422703148876,14.4116017474999,5.8659292173913,1.63465608695652,1.25367993947328,-0.990171612255066,"Lunceford, Logan",35.4986145283956,0.954768891830775,270,0.996893675536678,-0.0421247837059029,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702583,2025,98,27.1276008021196,11.8360051713835,5.85082112244898,1.47310183673469,13.7802157188484,16.9325567627165,"Lunceford, Logan",37.9977738620237,0.995713479979869,204,0.988892064452734,0.00682141552713445,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
702595,2025,63,43.6270326031746,9.10332486772487,5.61462317460318,1.78343968253968,3.02026655738811,-6.31957199189,"Lally, David",27.1506666614662,0.934615112864308,133,0.936077179300039,-0.00146206643573055,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702658,2024,90,27.9736399567487,8.63958005145413,5.792163,0.979567,-0.158262112340995,1.44308265691772,"Evans, Robert",48.1108952031619,0.984527475636031,215,0.980313461209422,0.00421401442660874,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
702659,2025,182,31.7326023951195,6.901537656755,5.85497368131868,1.59874538461538,6.4965657620643,2.04661466241549,"Evans, Jarvis",35.8452888856634,0.940885675580389,347,0.973973985336061,-0.0330883097556723,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702711,2024,121,22.0294136622749,11.151507538209,5.5364658677686,2.14401256198347,1.96667878299922,2.72710220766374,"Blanco, Evan",21.3127644254885,0.942862989308669,251,0.980028507333117,-0.0371655180244482,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702711,2025,43,29.449994539164,10.8630042103011,5.21645651162791,2.73194767441861,-3.71609401098182,-2.47932867435131,"Blanco, Evan",10.7050550018763,0.93406519598647,91,0.966576541274525,-0.0325113452880551,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
702716,2024,79,67.6325780130004,8.20815647850385,5.01440797468354,1.8631446835443,7.52692065587201,-0.595661095370206,"Behnke, Andrew",9.57849197024003,0.686314088837476,185,0.756270285268516,-0.0699561964310392,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
703443,2025,86,40.3248687639919,4.58067720419115,5.53954976744186,2.34827418604651,13.1024808043503,6.93100523055966,"Darden, Ethan",19.6728731207771,0.83464039207006,175,0.843026715191872,-0.00838632312181176,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
703610,2024,72,29.2582123291199,9.83909468476906,5.83219694444444,3.42298958333333,-3.01679890833486,-6.70427573235713,"Lamkin, Justin",18.3022839448803,0.970971199513111,134,0.995138668679866,-0.0241674691667552,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
703610,2025,69,18.7515771067192,9.96059613965752,6.36352144927536,3.07290376811594,-8.82500307091296,-6.64698035396307,"Lamkin, Justin",28.4289709290543,0.969862156382356,143,0.995050764476943,-0.0251886080945866,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
800600,2024,181,43.4275591624573,8.69847267672482,5.62439983425414,1.77271099447514,2.28305432679352,6.46115064670813,"Kent, Jackson",27.5402889025562,0.893819190254179,313,0.975064021463543,-0.081244831209364,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
800600,2025,50,44.971197704,8.5572282,5.6310582,1.766359,-2.03006366344244,3.50060328715496,"Kent, Jackson",27.7939778186545,0.84282173747225,79,0.957539199732891,-0.114717462260641,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
800624,2025,98,41.5652425050656,9.76249165090078,5.34309663265306,0.877515714285714,14.751020352698,13.5206280266202,"Jacobs, Ben",36.2362177236347,0.778950193677793,212,0.943203825335504,-0.164253631657711,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
800631,2024,84,43.6203396805867,11.6283274164054,5.29395452380952,2.1577055952381,-8.9600373034042,-4.66584704600345,"Speshyock, Ryan",15.390704158267,0.937131027644668,193,0.964660779679646,-0.0275297520349782,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
800720,2024,43,24.9883711068314,4.60764909883721,5.26516255813954,1.51216348837209,-7.39379140839571,-6.1895482564338,"Fladda, Luc",20.4929454271007,0.932918437056616,97,0.92156796468423,0.0113504723723862,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
800720,2025,194,28.1955332670506,6.45799043094641,5.7055225257732,1.66616809278351,1.11073300862873,0.220273097992318,"Fladda, Luc",31.1107312393312,0.932574841569649,352,0.970446467849586,-0.0378716262799373,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
800958,2025,61,39.3674705520242,5.81290401053874,5.24170475409836,2.23511163934426,11.1506807244717,7.99997762690886,"Ruhl, Ty",13.6235932913876,0.95699998588398,120,0.933510409703614,0.0234895761803658,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
801001,2024,135,14.8161833622461,2.0143491469534,4.99335762962963,2.13413748148148,3.92834868874134,2.80659316221339,"Delorbe, Ryan",7.82680325226502,1,292,0.993574554742203,0.00642544525779709,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
