pitcher,game_year,pitch_type,n,velo,hb,ivb,spin,sx,cx,sw,wh,name,hand,axis,whiff_rate,mv,fb_type,fb_axis,fb_velo,fb_hb,fb_ivb,fb_spin,fb_n,gap,velo_gap,mv_ratio,active_spin,wres,res_loc,plate_z,below,band
681347,2026,SL,256,89.49453125,-3.70171875,7.209375,2527.15234375,0.00465501951856174,-0.966386470692857,138,37,"Burrows, Mike",R,179.724012165683,26.8115942028986,8.10418469648407,FF,214.914530498747,94.9657718120805,8.72402684563758,16.5114093959732,2277.29306487696,447,35.1905183330641,5.47124056208054,0.433971675267453,0.472,1.88018928935967,6.82794712520519,2.23982896748486,11.7647058823529,same axis (<60°)
681517,2025,SL,288,91.0743055555556,-4.61666666666667,5.01333333333333,2379.30555555556,0.204858108377346,-0.934176173968431,150,28,"Leahy, Kyle",R,167.631236198074,18.6666666666667,6.8152125588438,FF,203.064003739297,95.4074879227053,3.16579710144928,16.5846376811594,2374.21014492754,414,35.4327675412232,4.33318236714976,0.403647028650265,0.437,-8.17081631390042,2.19796172188091,2.48657187395156,3.52112676056338,same axis (<60°)
663559,2025,SL,379,85.0358839050132,-4.69963060686016,6.315672823219,2044.94722955145,0.383270475440146,-0.890959816154127,198,43,"Falter, Bailey",L,156.723733950428,21.7171717171717,7.87237264431021,FF,192.619326942981,92.1334285714286,3.88022857142857,18.4858285714286,2121.38285714286,1050,35.8955929925535,7.09754466641537,0.416777395522422,0.614,-6.43842944404041,-1.41138288075811,2.29247643164615,15.4285714285714,same axis (<60°)
608379,2025,SL,354,84.854802259887,-4.05016949152542,4.09220338983051,1958.35310734463,0.191564051479421,-0.891976159667839,182,54,"Wacha, Michael",R,167.879064263132,29.6703296703297,5.75760379792007,FF,204.330991193458,93.0401544401544,6.34378378378378,18.1703474903475,2160.03732303732,777,36.4519269303266,8.18535218026743,0.29915983512994,0.298,1.17919255520476,4.60014622533742,2.18207987708601,15.625,same axis (<60°)
669373,2026,SL,202,89.2856435643564,-3.14613861386139,3.82455445544555,2220.37128712871,0.170062504374009,-0.863057862201592,92,26,"Skubal, Tarik",L,168.852875768024,28.2608695652174,4.95231309190948,FF,205.50367486957,96.6684512428298,3.51143403441683,17.0941491395794,2323.73804971319,523,36.6507991015464,7.3828076784734,0.283782655208642,0.251,-4.22946570346784,0.790013744513368,2.10263515581839,19.7802197802198,same axis (<60°)
694819,2025,SL,283,94.1155477031802,-2.61964664310954,6.43293286219081,2473.18727915194,-0.0223828150144468,-0.965746040899147,135,27,"Misiorowski, Jacob",R,181.327689918869,20,6.94587458454366,FF,218.295380418148,99.2728971962617,9.37289719626168,15.9134579439252,2588.61838006231,642,36.9676904992788,5.15734949308147,0.37609093051234,0.455,-8.1545447183953,-0.66285459234276,2.45683230973076,5.22388059701493,same axis (<60°)
663372,2026,SL,299,89.1103678929766,-4.65190635451505,5.26033444816054,2536.04682274248,0.121462517784553,-0.956484432875253,136,42,"Feltner, Ryan",R,172.762831726184,30.8823529411765,7.02220415807472,FF,209.868402445411,94.8930158730159,3.74476190476191,12.4194285714286,2379.28253968254,315,37.1055707192276,5.78264798003929,0.541347304778265,0.408,4.04156817829329,7.47072040255692,2.24937298332915,20.4545454545455,same axis (<60°)
663554,2025,SL,409,88.161858190709,-2.32987775061125,4.50425427872861,2184.804400978,0.0922037023696005,-0.822018150615844,176,34,"Mize, Casey",R,173.600027988057,19.3181818181818,5.07115735707721,FF,211.234957498988,94.5973236009733,8.07255474452555,17.2229197080292,2250.72749391728,822,37.6349295109305,6.4354654102642,0.266609576163727,0.417,-8.73335939503021,1.42713433978463,2.32619881488795,12.5,same axis (<60°)
680573,2025,SL,536,85.4330223880597,-4.91955223880597,5.80701492537313,2298.72574626866,0.329998298741212,-0.895826233234643,266,72,"Woods Richardson, Simeon",R,159.77755904823,27.0676691729323,7.61074349678448,FF,197.460172738075,93.1716553287982,5.30938775510204,18.4121088435374,2251.42857142857,882,37.6826136898453,7.73863294073848,0.397171885473174,0.46,-2.24472295147845,-0.469143476146621,2.11941601867061,21.25,same axis (<60°)
434378,2025,SL,623,87.1081861958267,-4.06825040128411,5.496886035313,2499.5393258427,0.187883996090706,-0.911026844507002,356,112,"Verlander, Justin",R,168.347081825806,31.4606741573034,6.83859762032885,FF,206.941918098647,93.9319114027892,8.87389663658737,18.5891714520098,2432.03363412633,1219,38.5948362728408,6.82372520696252,0.331992923897913,0.34,4.15140207797239,8.38974938546159,2.06193290112365,23.768115942029,same axis (<60°)
