train,test,n_test,arm,axis,as_fb,as_ch
4.76934181373942,1.00447648237585,10,35,8,0.85,0.89
3.54773655763202,2.03619130487278,9,35,8,0.85,0.89
2.45960169838182,1.76025325925029,18,32.5,10,0.85,0.91
2.35774980645687,0.81798883353951,14,55,22,0.89,0.85
2.92249205864226,1.22139365003554,7,25,6,0.85,0.85
2.95193356967475,1.77322436644517,8,40,10,0.85,0.89
4.57431310955226,-1.93696805590624,11,55,26,0.91,0.85
4.74066797313463,-0.265944820478581,18,40,12,0.91,0.87
3.41401395907341,2.96414739092857,3,35,8,0.85,0.93
3.033715480799,2.63838067809619,8,35,8,0.85,0.89
3.7651790151017,-0.677657084740794,20,45,18,0.93,0.93
3.8400102356267,-1.60175170360488,17,42.5,12,0.85,0.85
4.48544372096992,-0.0678706013677701,6,35,8,0.91,0.89
4.55009068013191,0.539523526340074,14,35,10,0.91,0.89
4.28760306072798,1.07814525776881,10,35,8,0.91,0.87
4.51238329887149,-0.648766103871075,22,45,16,0.85,0.91
3.75025917676971,0.195997350047061,7,25,6,0.85,0.85
3.31165652165794,1.4936829426002,17,35,8,0.85,0.85
4.22323176194158,1.04789932020982,9,37.5,8,0.85,0.85
3.69307886599229,-0.451132515886976,6,25,8,0.85,0.95
3.10152145739954,0.796377549288907,12,40,12,0.93,0.85
3.62114297007497,1.05997040581685,16,30,8,0.85,0.89
2.6231555038319,-1.97961033340482,16,45,18,0.95,0.87
4.23281303586407,1.25811731482657,9,35,8,0.85,0.89
5.09449740979136,-1.10276407751434,12,40,12,0.91,0.91
3.00776019347898,1.27923795422769,14,25,8,0.85,0.91
3.85882955852892,1.25644199350153,17,35,8,0.85,0.85
3.69065493533864,-0.834985412072717,7,35,10,0.93,0.89
3.30610714807325,0.320057731003524,8,37.5,10,0.93,0.85
3.57969850078104,1.33649460043578,12,40,10,0.85,0.87
5.63284231116719,-0.438434477646017,15,40,12,0.93,0.85
3.23955295834929,0.0419119915247775,14,40,12,0.91,0.89
3.93296074482637,0.41504423262439,14,40,10,0.85,0.85
3.32890820478357,0.799941353963193,14,40,10,0.85,0.85
3.23329610598922,2.09062468327379,5,42.5,10,0.85,0.87
4.12758518329098,0.267570452778338,14,40,10,0.85,0.85
